,평점,리뷰
2731,5,쌩 흰색이 아니라 가까이서 보면 약간 민트끼 돌아요 ~ 평소 220 신는데 230 딱 맞네요 ~ 워낙 마감 잔오염 얘기가 많아서 걱정했는데 제껀 나름 깔끔합니다 만족!
2732,4,마음에 쏙 들어요.
2733,4,마음에 쏙 들어요.
2734,5,잘받았습니다 감사합니다
2735,5,잘받았어요 잘신을게요!
2736,5,잘받았어요 잘신을게요!
2737,5,사진이랑 똑같아요~매장엔 사이즈없어서 못샀는데 구매할수있어서 만족입니다!
2738,5,"배송이 빠르고 신발은 실물이 예뻤어요
원래 운동화 250 신고 발볼이 보통이라 정사이즈로 딱맞네요
발볼 넓은 분들은 한사이즈 업 추천합니다"
2739,5,"약~간의 오염이 있었지만.. 마지막 남은 하나를 좋은 가격에 구매하였기에 넘어갑니다.
이뻐요."
2740,5,"약~간의 오염이 있었지만.. 마지막 남은 하나를 좋은 가격에 구매하였기에 넘어갑니다.
이뻐요."
2741,5,"상태도 좋고 배송도 빨리왔네요
여기저기 매치하기도 예뻐서 정말 좋아요"
2742,5,"신발 너무 예뻐요?
평소 240신는데 245주문했어요
깔끔하니 딱 떨어지나요"
2743,5,"맞는 사이즈를 살수있어 좋네요
운동화 마감처리는 그닥 좋지는 않네요"
2744,5,"맞는 사이즈를 살수있어 좋네요
운동화 마감처리는 그닥 좋지는 않네요"
2745,5,신발 너무 마음에 들어요~~^^
2746,5,매장에서 없는 사이즈라 검색해서품절 직전에 겟했습니다^^맥스 종류는 첨이라 구입을 갈팡 질팡 했지만구매 후 받아서 신어보니 대박 이쁘고 좋네요~!!와이프꺼도 사이즈 풀리몀 구매해야 겠네요~!많이 파시고 새해 복 많이 받으세요^^
2747,5,"매장에서 없는 사이즈라 검색해서
품절 직전에 겟했습니다^^
맥스 종류는 첨이라 구입을 갈팡 질팡 했지만
구매 후 받아서 신어보니 대박 이쁘고 좋네요~!!
와이프꺼도 사이즈 풀리몀 구매해야 겠네요~!
많이 파시고 새해 복 많이 받으세요^^"
2748,5,가격 너무 만족입니다
2749,5,"아직 신어보고 운동은안해보았지만 ..
글쎄요 가격이워낙비싸서리ㅠ"
2750,4,"정사이즈로 샀더니 잘맞네용
이뻐용"
2751,5,아주 마음에 듭니다..가볍고 너무 편함!
2752,5,아주 마음에 듭니다..가볍고 너무 편함!
2753,4,"사이스는 한사이즈 업했는데도 조금 작은 느낌 입니다
끈을 조절하니 조금 나아지네요
모양은 너무 이쁩니다^^"
2754,4,"우먼스가 맞나요? 맞겠죠?;;
반싸이즈 업해서 시켰는데 좀 커요. 발볼도 넓게 나온것같고..
정싸이즈의 주니어 느낌이예요
색도 흰+옥색? 느낌 좀 있는데 이건 원래 그런듯.."
2755,5,비싸긴하지만 깔끔하고 이뻐요
2756,5,괜찮아서 그냥 샀어요
2757,4,"에어맥스97 말이 필요없죠..사이즈 얘기들 많아 고민 했는데.. 저도 발볼이 좀 있어서 걱정 했으나 정사이즈 하심 될것 같아요. 참고로 235~240 신는데..
발커보이면 안예뻐 요즘은 주로 235 신는데..이번에도 235로.. 좋네요^^"
2758,5,"백화점 제품을 저렴한 가격에 구입하게 되서 넘 좋았구요~실제 받아서 신어보니 너무너무 이쁩니다.
참고로 전 발볼이 넓어서 한치수 크게 시켰더니 딱 맞네요~"
2759,5,제주사려니숲걷기 2시간40분동안 발아프다는생각을전혀 못해 정말 신발의 힘이크다는걸느꼈네요.
2760,5,아들이 맘에들어해서 저도기분촣아요빠른배송도 맘에듭니다.감사합니다~
2761,5,"캬~~발모양 예쁘게 보여요
정사이즈에 발볼 편해요"
2762,5,완전 이쁘고 편하네요
2763,5,배송 품질 모두 만족합니다
2764,5,배송 품질 모두 만족합니다
2765,5,너무 마음에 들어요! 추천합니다.
2766,5,배송빠르게 잘 받았어요
2767,5,배송도 빨리오고 상품도 너무 맘에 들어요 운동화230 구두235신는데 235로 샀더니 발에 딱 맞아요 잘신겠습니다
2768,5,배송도 빨리오고 상품도 너무 맘에 들어요 운동화230 구두235신는데 235로 샀더니 발에 딱 맞아요 잘신겠습니다
2769,5,빠른 배송 감사합니다.정품에~매장보다 저렴하게 잘 산거 같아요잘 신을게요
2770,5,역시 맥스 97 입니다!!
2771,5,"빠른 배송 감사합니다.
정품에~매장보다 저렴하게 잘 산거 같아요
잘 신을게요"
2772,5,정사이즈에요넘이뽀요
2773,5,엄마가 좋아하세요 ^^
2774,5,"평소 220~230 신는 와이프에게 선물로 사주었습니다. 저도나이키 다른 신발들은 270 신는데 이제품은 275로 반업해서 신어서 와이프도 230으로 주문해서 신겼는데, 길이는 살짝 남지만 편하다고 하네요. 에어때문에 높이가 좀 있어서 키높이 효과도 있고 스카치도 이쁩니다."
2775,5,한사이즈 크게 주문하니 딱맞아요. 너무예쁘다고 중학생딸아이가 너무좋아하네요
2776,5,사이즈때문에 블로그 상품평 등 엄청 검색하고 고민하다가 정사이즈 230으로 주문했는데요. 정사이즈도 편하게 맞아서 사이즈 업했으면 무조건 교환할뻔 했어요ㅠㅠ역시 신발은 신어보고 사야ㅠㅠㅋㅋ 발볼은 절대 얇지는 않고 보통이에용! 그리고 포장이 너무너무 마음에 들었고 스크래치 하나없이 깨끗해서 기분 좋았어용!
2777,5,생일선물로 강추입니다.
2778,5,"잘 받았습니다~ 제품에 살짝 긁힘은 있지만 크게 보이는건 아니라 괜찮네요~ 색상은 완전 하얗다기보다는 살짝 아주 연한 베이지?가 섞인듯한 느낌이 있네요~ 선물 줬는데 예쁘다고 참 좋아하네요~

남자-실측 247, 발볼이 ?아서 245사이즈 구매하고 싶었는데 품절이라 어쩔수 없이 250으로 구매했는데 길이는 역시 살짝 좀 남아 아쉽네요ㅜ 그래도 예쁩니다.
여자-실측 233, 발볼은 좀 넓은 편인데 235사이즈 신으니 불편함 없이 딱 맞다고 하네요. 볼이 작게 나와서 240이랑 고민 많이했는데 다행이라고 하네요~

공홈보다 저렴하고 나이키코리아 택에 as까지 가능하다고 하니 좋네요ㅎㅎ 하도 가짜가 많다고 하니ㅜ 잘 신겠습니다~ㅋ"
2779,5,마음에 쏙 들어요.이쁩니다~저렴하게 잘구입했어요~~^^
2780,4,깔끔하고 빠른 배송 정말 좋았습니다. 사이즈 반업하시면 딱 좋을것 같습니다.
2781,5,예뻐요 사이즈 무조건 큰 거 시키세요저는 원래 225-230신는데 이건 235도 완전 딱맞아요
2782,5,저렴하게 잘 샀어요.이쁩니다~저렴하게 잘구입했어요~~^^
2783,5,마음에 쏙 들어요.97은 사랑입니다~
2784,5,발볼은 예상보다 좁지만 230~235 신는데 235 구매하니 딱 맞습니다 크다는 느낌없이 딱 맞아요 배송빠르고 만족합니다!
2785,5,마음에 쏙 들어요.이쁩니다~저렴하게 잘구입했어요~~^^
2786,5,빠른 배송 감사합니다.이쁩니다~저렴하게 잘구입했어요~~^^
2787,4,빠른 배송 감사합니다. 사이즈는 반업이 좋아요  참고하세요~
2788,4,빠른 배송 감사합니다. 사이즈는 반업이 좋아요  참고하세요~
2789,5,"빠른 배송 감사합니다.
이쁩니다~
저렴하게 잘구입했어요~~^^"
2790,5,"마음에 쏙 들어요.
이쁩니다~
저렴하게 잘구입했어요~~^^"
2791,5,"마음에 쏙 들어요.
97은 사랑입니다~"
2792,5,"예뻐요 사이즈 무조건 큰 거 시키세요
저는 원래 225-230신는데 이건 235도 완전 딱맞아요"
2793,5,발볼은 예상보다 좁지만 230~235 신는데 235 구매하니 딱 맞습니다 크다는 느낌없이 딱 맞아요 배송빠르고 만족합니다!
2794,4,깔끔하고 빠른 배송 정말 좋았습니다. 사이즈 반업하시면 딱 좋을것 같습니다.
2795,5,"마음에 쏙 들어요.
이쁩니다~
저렴하게 잘구입했어요~~^^"
2796,5,"저렴하게 잘 샀어요.

이쁩니다~
저렴하게 잘구입했어요~~^^"
2797,4,마음에 쏙 들어요.
2798,5,싸게구입해서 너무좋아요!
2799,5,배송도 하루만에 빠르게오구 신발도 엄청예뻐요평소에 220-225신는데 230신으니까 딱맞아요
2800,5,"배송도 하루만에 빠르게오구 신발도 엄청예뻐요
평소에 220-225신는데 230신으니까 딱맞아요"
2801,5,싸게구입해서 너무좋아요!
2802,5,편안하고 간지나요^^~~~
2803,5,잘신고이써용
2804,5,"와.... 설마 햇지만 진짜 정품맞네요 ^^
유투브 짝튱 비교 동영상 보면서 확인햇는데 !!! 오오  정품각 제가 틀린걼 도 잇겟지만 우쨋든 정품 !! ^^ 
많이파세요 오랜만에 포토후기 남기네요 
이쁜 울댕댕이도 보세요"
2805,5,빠르게 배송되었고 상품상태도 좋았습니다~
2806,5,빠르게 배송되었고 상품상태도 좋았습니다~
2807,5,이뻐요.한사이즈업 했더니 좋습니다
2808,5,이번에 운동화 싸게 싸서 너무 좋았어여 &amp;amp;gt;&amp;amp;lt;
2809,5,사이즈도그렇고너무이뻐요
2810,5,이번에 운동화 싸게 싸서 너무 좋았어여 &amp;amp;gt;&amp;amp;lt;
2811,5,사이즈도그렇고너무이뻐요
2812,5,예뻐요! 만족합니다
2813,5,예뻐요! 만족합니다
2814,4,사이즈가마니작게사온듯해요
2815,5,감사합니다 잘받았어요
2816,5,마음에 쏙 들어요.
2817,5,마음에 쏙 들어요.
2818,5,"매장에서 신어보고산거라서 만족합니다.
이쁘고 활용도도좋아요."
2819,5,좋아요 잘샀어요 잘신거 있어요
2820,5,좋아요 편하고요 정품맞겠죠
2821,5,좋아요 편하고요 정품맞겠죠
2822,5,"발볼보통, 평소 아디다스 220 나이키 225신는데 반사이즈 업하라는 평이 많아  30으로 반사이즈 업했으나 그냥 정사이즈 갈걸 그랬어요 :) 약간 헐떡거리네요. 그래도 겨울이니 니트양말 신고 신으면 될거같긴합니다. 깔끔하니 예뻐욧"
2823,5,계속 살까말까하다가 샀어요! 역시 97은 구웃입니다~!
2824,3,97은 처음이라 그런건지..운동화는 매장에서 직접 사는게 정답인건지..몇 번을 교환하고 직전에 반품까지한 탓에 그냥 신기로 결정했지만 왼쪽 오른쪽 많이 차이나네요..특히나 뒷 부분은 완전 다르네요..이정도는 불량은 아닌건가요??
2825,3,97은 처음이라 그런건지..운동화는 매장에서 직접 사는게 정답인건지..몇 번을 교환하고 직전에 반품까지한 탓에 그냥 신기로 결정했지만 왼쪽 오른쪽 많이 차이나네요..특히나 뒷 부분은 완전 다르네요..이정도는 불량은 아닌건가요??
2826,5,좋아요
2827,4,잘받았어여잘받았어여~~
2828,5,너무 괜찮아요. 다음에 또 살꺼에요.
2829,5,너무 괜찮아요. 다음에 또 살꺼에요.
2830,5,신발의 색상이 생각보다 밝아서 마음에 드네요
2831,5,역시 예뻐요
2832,5,"보통 225나 230 사이즈 신어요
이건 고민하다 235로 했는데 230 했으면 불편했을 것 같아요
쿠폰, 카드할인 덕분에 백화점보다 저렴하게 구입해서 좋아요
운동 다니느라 레깅스 자주 입는데
운동 레깅스랑 잘 어울려요"
2833,5,흰색 사고싶었는데 이쁘네요
2834,5,작다는분들만아서 크게살까하다가 정사이즈삿는데 딱맞아요
2835,4,에어맥스 97입니다
2836,5,너무 괜찮아요. 다음에 또 살꺼에요.
2837,5,너무 괜찮아요. 다음에 또 살꺼에요.
2838,5,"만족합니다
매우만족"
2839,5,정말 마음에 들어요
2840,4,생각보다 가볍고 좋아요 줄에 빨간색이 있는데 그냥 싫을까 하다가 너무 빨개서 싫습니다
2841,4,가격이 너무 비싸네요ㅠㅠ할인을 많이 받을거라 생각했는데
2842,4,가격이 너무 비싸네요ㅠㅠ할인을 많이 받을거라 생각했는데
2843,5,"모든신발 225신는데요
225했는데 너무 딱~맞는거같아요
230 이어도 괜찮았을것같네요
두루두루 잘신어질듯 하네요"
2844,5,"역시 믿고신는 에어맥스~
너무 편해요 날아갈거같음~~~~~~~~
동글동글 너무 이쁘고!!!! 빨리 신고 나가고싶네요!
아~! 배송도 빠르고 굿굿입니당d"
2845,5,너무너무 좋아요~ 역쉬~~~
2846,5,마음에 쏙 들어요. 옅은 블루가 살짝살짝 걸를때마다 보여요.
2847,4,맘에 들어요
2848,5,마음에 쏙 들어요. 옅은 블루가 살짝살짝 걸를때마다 보여요.
2849,5,배송도 빠르고 넘 맘에 드네요^^
2850,5,정말 잘신고있어요. 매우만족합니다.
2851,5,"넘나리 예쁘네요.
잘신을게요~~♡"
2852,5,"요즘 트렌드라 구하기도 어려웠는데
신어보니 이쁘고, 괜찮은듯 해요."
2853,5,"해외직구로 사야되는줄 알고 이것저것 찾아봤는데
잠실점 백화점에서 받아서 넘 좋네요 
사이즈가 작게나왔다고 해서 고민했는데 그냥 정사이즈로 사길 잘했네요 
에어빨때문인지 키도 커진 느낌이고 편안해요"
2854,3,폭신하지는 않아요
2855,5,넘 이쁘고 좋아요 블래이랑 화이트 고민하다 화이트샀는데 잘한거 같아요 사이즈225인데 작게 나왔다는 평이 많아서 230 샀더니 딱 좋아요
2856,3,"신어보고사야될거같아요
이쁜데 편하지는않네요"
2857,5,햇이뻐요요용
2858,4,"너무 사고 싶은 아이였는데 품절이여서 못구하다가 입고알림뜨자마자 구매했습니다. 요거 신으신분 볼때마다 슬쩍쳐다보고 했는데 이제 제가 신고다니게 됐네요~!!사이즈는 정사이즈보다 작아요(발볼이 작게 나왔습니다) 220사이즈 신는 저로써는 225 신으니까 딱 입니다. 발 작은신분들 정말 강력추천 합니다. 다만, 착화감이 편한 신발은 아닙니다. 불편하지는 않지만 다른 운동화에 비해서는 편하지는 않습니다. 그래도 디자인이 이뻐서 저는 만족합니다!! 추천드려요~!!"
2859,4,240신는데 240 잘맞아요.첨에 발볼때문에 끈을 느슨하게 했더니 자꾸 뒤에가 벗겨져서 다시 꽉 쪼맸네요.아주싸게 잘삿어요.너무 이뻐요
2860,5,넘 이쁘고 좋아요 블래이랑 화이트 고민하다 화이트샀는데 잘한거 같아요 사이즈225인데 작게 나왔다는 평이 많아서 230 샀더니 딱 좋아요
2861,4,"너무 사고 싶은 아이였는데 품절이여서 못구하다가 입고알림뜨자마자 구매했습니다. 요거 신으신분 볼때마다 슬쩍쳐다보고 했는데 이제 제가 신고다니게 됐네요~!!
사이즈는 정사이즈보다 작아요(발볼이 작게 나왔습니다) 220사이즈 신는 저로써는 225 신으니까 딱 입니다. 
발 작은신분들 정말 강력추천 합니다. 다만, 착화감이 편한 신발은 아닙니다. 불편하지는 않지만 다른 운동화에 비해서는 편하지는 않습니다. 그래도 디자인이 이뻐서 저는 만족합니다!! 추천드려요~!!"
2862,5,우먼스 나이키 에어맥스 ~좋아요
2863,5,우먼스 나이키 에어맥스 ~좋아요
2864,5,마음에 쏙 들어요.
2865,5,"깔끔하고 예뻐서~
예쁜단 얘기 듣고있습니다^^
착화감도 좋고~신고  싶던 신발이라 맘에 쏙! 들어요~^^"
2866,5,싸게 잘샀어요  구하기힘든건데..
2867,5,딸 생일선물로 준비한건대 넘 예쁘다고  좋아라하네요 뿌듯 ㅋㅋ   230~235 신는데 240주문했는데 잘 맞아요
2868,5,싸게 잘샀어요  구하기힘든건데..
2869,5,마음에 쏙 들어요.
2870,5,딸 생일선물로 준비한건대 넘 예쁘다고  좋아라하네요 뿌듯 ㅋㅋ   230~235 신는데 240주문했는데 잘 맞아요
2871,5,너무 괜찮아요. 다음에 또 살꺼에요. 발 날씬해 보이고 너무 예뻐요
2872,2,"상품평을 잘 안쓰는 1인인데 이번건 쓰게 되네요
알단 신발을 받고 마감처리며 에어부분에  페인트 자국에 군데군데 고무잔재가 남아서  정품유무,교환을 문의했더니 해당상품이 품정상테 하더라구요
제가 받은 상품이 품절되기 마지막 상품이라 상태가 저런가 싶기도 하고 반품해야 하나 그냥 참고 신어야 하나 고민 고민하다 더는 구할수 없는 사이즈라니 찝찝해도 그냥 신어야 헐것 같네요 ㅠㅠ"
2873,5,너무 괜찮아요. 다음에 또 살꺼에요. 발 날씬해 보이고 너무 예뻐요
2874,5,깨끗하고 예뻐요뽀얀 우유빛 화이트가 아니라 약간 푸른끼가 도는 형광 화이트색이에요나이키 코리아 리오더 된 제품으로 정품을 저렴한 가격으로 잘 구매한거 같아요
2875,4,신발 예뻐요!
2876,4,사이즈는 정사이즈맞네요 색상은 연한하늘색에  흰색이네요 그래서 더욱예쁘네요 그런데 윈래 안쪽이음선이있는게 맞나요? 신랑은없던데  이신발은 이상하게 있네요
2877,5,진짜 발을 딱 잡아주면서 너무 편한신발!! 좋습니다
2878,5,코르테즈 230은 좀 헐렁한데 맥스 230은 잘맞네요~예쁩니다~
2879,4,화이트 신발 많은데 자꾸 하얀거만 사네요^^;;
2880,5,잘샀어여 ~ 발도편하고 이쁘고 좋아요^^
2881,5,"너무 예뻐용 사이즈 5 크게 사세요!!!
신었더니 하루종일 기분이 좋아요
고민하지 말고 사세요 히히"
2882,5,잘샀어여 ~ 발도편하고 이쁘고 좋아요^^
2883,3,자잘하게 얼룩들도 많고 마감도 허술했어요 어차피 신다보면 더러워질테니 그냥 신기는 하지만 상품 검수 신경 좀 쓰셔야할듯
2884,5,"발볼없는235운동화 신는데 다들반업아니면 한치수 크게신으라해서 반업했는데 딱맞아요
 
쥬니어에어맥스95는 반업해도 발볼이 넓게나온듯편했는데 우먼은 좁고 타잇하게 나오네요

조금편하게 신으려면 한치수 크게해도 좋을듯합니다"
2885,3,자잘하게 얼룩들도 많고 마감도 허술했어요 어차피 신다보면 더러워질테니 그냥 신기는 하지만 상품 검수 신경 좀 쓰셔야할듯
2886,5,"사고싶었었는데 이제야 재고가 났네요
만족합니다"
2887,5,"너무 에뽀효...
꼭 사고 싶었는데 할인금액에 잘 샀습니다
행복해요ㅠㅠ
원래 240신구요
반사이즈업해서 신는다길래 245 하고싶었는데
재고가 없어서 그냥 240했어요
군데 딱 맞습니다 두꺼운 양말신으면 조금 낄 것 같은 느낌이예요 발볼은 보통이예요♥？"
2888,5,평소 230-35신어요 35구매했는데 발부으면 낑길듯 늘어나겠지하고 신어요. 그리고 너무 예쁨 재고있을때 얼른사세염
2889,5,사고 싶었던 상품인데 계속 품절이고 사이즈 없어서 못샀믄데 진짜 저렴하게 잘샀어요 예쁘고 배송도 빨랐습니당 잘신을게요
2890,5,좋은가격에 좋은신발 구매했네요 많이 많이 팔아주세요
2891,5,빠른 배송 감사합니다.
2892,4,기대 많이 했는데 와서 좋았고 반업하니까 딱 좋아여 ! 근데 한쪽에 실이 좀 뜯겨있어서 그렇긴 해도 만족합니당
2893,5,사고 싶었던 상품인데 계속 품절이고 사이즈 없어서 못샀믄데 진짜 저렴하게 잘샀어요 예쁘고 배송도 빨랐습니당 잘신을게요
2894,5,빠른 배송 감사합니다.
2895,5,좋은가격에 좋은신발 구매했네요 많이 많이 팔아주세요
2896,5,"완전 득템가로 구매했어요~~
혹시 안좋은게 아닐까 걱정도 했는데 상당히 깔끔하게 2중포장되어 왔습니다.
정말 이쁘고 좋네요^^
할인받고 정말 잘 구매했어요~~
다들 많이 많이들 구매하세요!!!!"
2897,5,"예뻐요~~매장에서 구하기 힘들었는데
좋아요!"
2898,5,마음에 쏙 들어요.매장을 돌고돌고 찾아봐도 못 구했는데 엘롯데 입고 되서 바로 선물 쪼르기 해서 생이날 딱 받았어요배송 사이즈 등 정말 마음에 쏙 들어요~^^
2899,5,20프로할인되어서 언넝샀어요~매장다녀봐도 사이즈구하기가힘들었는데넘잘샀네요~^^
2900,5,좋습니다ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
2901,5,좋급니다아아아아아아아아아
2902,5,발볼은 나이키 좁으니까 한사이즈 크게사면 딱이구요완전예쁨ㅎㅎㅎㅎ
2903,5,"나이키 본박스에 겉비닐 포장까지해서 잘 왔어요~
작년부터 사고 싶었는데 역시나 너무 맘에 드네요.
매장에서 245 권해서 한치수 크게 주문했더니 여유있게 딱 잘맞아요.
신었을때 일반 운동화보다 발볼이 조이는 느낌은 있지만 불편하거나 아픈 느낌은 아니예요~
편하게 잘 신을 것 같아요~"
2904,5,나이키 본박스에 겉비닐 포장까지해서 잘 왔어요~작년부터 사고 싶었는데 역시나 너무 맘에 드네요.매장에서 245 권해서 한치수 크게 주문했더니 여유있게 딱 잘맞아요.신었을때 발볼이 조이는 느낌은 있지만 불편하거나 아픈 느낌은 아니예요~편하게 잘 신을 것 같아요~
2905,5,"발볼은 나이키 좁으니까 한사이즈 크게사면 딱이구요
완전예쁨ㅎㅎㅎㅎ"
2906,5,"마음에 쏙 들어요.
매장을 돌고돌고 찾아봐도 못 구했는데 엘롯데 입고 되서 바로 선물 쪼르기 해서 생이날 딱 받았어요
배송 사이즈 등 정말 마음에 쏙 들어요~^^"
2907,5,"우리 새언니가 아주 이신발을 신고 날라다닙니다.
애기 키우면서 감각이 떨어져서 이게 이쁜거야 하더니
택배 받고 신자마자 너무 이쁘다며 좋아 죽네여
그래서 저도 샀습니다."
2908,5,"우리 새언니가 아주 이신발을 신고 날라다닙니다.
애기 키우면서 감각이 떨어져서 이게 이쁜거야 하더니
택배 받고 신자마자 너무 이쁘다며 좋아 죽네여
그래서 저도 샀습니다."
2909,5,항상 품절이었는데 사서 너무 좋아요 >_
2910,5,20프로 할인할때 운 좋게 샀어요!
2911,5,넘 예뻐요ㅠㅠㅠ싸게 잘 구했어요
2912,5,상품잘 맞았습니다. 잘 신을께요
2913,5,만족합니다만족합니다
2914,5,만족합니다만족합니다
2915,5,빠른 배송 감사합니다.
2916,4,"생각보다 편하지않아요. 처음이라 그런건지ㅠㅠ
쫌더 신어봐야 알듯합니다."
2917,5,하얘요 ㅎ ㅎ이뻐요맘애듭니다
2918,5,에어맥스 첨 봤을 때는 퉁퉁한 모습 때문에 예쁘단 생각 안들었는데 남이 신고 지나가는데 뒷모습이 예뻐서 사버렸네요ㅜㅜ 이건 진짜 옆태 뒷태빨ㅋㅋ 에어 쿠션감이 좋은게 아니라서 왕편하다기보단 그냥 착화감 괜찮은 키높이 신발같은ㅋㅋ 첫 에어맥스 구매였는데 나쁘진않네요 다행히 직구안하고 국내에서 편하게 구매해서 좋아요 실버도 좀 구해주세요~^^
2919,5,빠른 배송 감사합니다.
2920,5,배송도 빠르고 역시 편하고 너무 이쁘네요.
2921,5,정말 사고싶었던 제품인데 롯데닷컴에서 안전하게 정품으로 잘 구매했어요
2922,5,배송도 빠르고 역시 편하고 너무 이쁘네요.
2923,5,에어맥스 첨 봤을 때는 퉁퉁한 모습 때문에 예쁘단 생각 안들었는데 남이 신고 지나가는데 뒷모습이 예뻐서 사버렸네요ㅜㅜ 이건 진짜 옆태 뒷태빨ㅋㅋ 에어 쿠션감이 좋은게 아니라서 왕편하다기보단 그냥 착화감 괜찮은 키높이 신발같은ㅋㅋ 첫 에어맥스 구매였는데 나쁘진않네요 다행히 직구안하고 국내에서 편하게 구매해서 좋아요 실버도 좀 구해주세요~^^
2924,5,빠른 배송 감사합니다.
2925,5,빠른 배송 감사합니다.
2926,5,좋은 가격에 잘 구매했습니다.
2927,5,저렴하게 잘 샀어요.
2928,5,"개 굿이에용,,,,평소 운동화 220-225신고 이건 230이 앞코 넉넉하게 잘 맞습니다"
2929,5,전부터 사고 싶던 신발인데 때마침 세일해서 와이프 조공용으로 잘샀어요
2930,3,빠른 배송 감사합니다.
2931,5,저렴하게 잘 샀어요.
2932,5,배송도 빠르고 이쁩니다.
2933,5,전부터 사고 싶던 신발인데 때마침 세일해서 와이프 조공용으로 잘샀어요
2934,3,빠른 배송 감사합니다.
2935,5,작게 나왔대서 평소신는  치수보다 반사이즈 업했어요230신는데 235했더니 넘 크지도 않고 딱 잘맞아요발도 푹신하니 가볍고 편하네요~정품 맞는것 같아요~~
2936,5,상품 품질이 좋습니다. 마음에 들어요!
2937,4,배송도 빨라서 좋았습니다ㅎㅎ생각보다 폭이 약간 좁긴하지만 신으면서 늘려야겠어요ㅎㅎ평소220신는데 225로주문했습니다 저는칼발은아니며 발볼도 넓은편은 아니에요 꾸준히 잘신어 보겠습니다.
2938,5,딱맞네요 좋아여 ㅎㅎㅎ
2939,5,정사이즈 빠른배송 나코탭 매우 만족합니다^^
2940,5,정사이즈 빠른배송 나코탭 매우 만족합니다^^
2941,4,배송도 빨라서 좋았습니다ㅎㅎ생각보다 폭이 약간 좁긴하지만 신으면서 늘려야겠어요ㅎㅎ평소220신는데 225로주문했습니다 저는칼발은아니며 발볼도 넓은편은 아니에요 꾸준히 잘신어 보겠습니다.
2942,5,잘 신고있어요. 싸게 잘샀네요
2943,5,잘 신고있어요. 싸게 잘샀네요
2944,4,예뻐요~~~
2945,3,저렴하게 잘 샀어요. 신발은 예쁜데 외부 택배박스뿐만 아니라 신발박스까지 다 찌그러져 있고 기분은 별로네요조금 더 배송시 상품관리에 신경 써 주셨으면 합니다
2946,5,좋은가격에 사서 좋습니다
2947,4,199000원때그냥 사려고했는데 운좋게 20퍼할인 잠깐하루할때 싸게잘샀어요ㅋㅋ기존에 롯데포인트요거저거하니까 진짜저렴하게 잘샀어여그냥회사출퇴근용으로산거고 후기가반업하래서그렇게산건데 생각보다245가크네요ㅠ 240 에 이라 일부러245삿는데 신을땐모르다가 걸으니까헐떡거림 거기다저는칼발ㅠ흑 ㅜㅜ 귀찮아서그냥신어여 글구신발이편한신발은아님ㅜㅜ 오래신능용은아닌듯 ㅜㅜㅜㅋ 디자인은이뻐여ㅋㅋ이거는 그냥 출퇴근용으로 가볍게신구 어차피싼맛이라ㅠ나중에 편한신발다시사야겠어요ㅠ
2948,5,정말 이쁘고좋아요~^^~ 약간의 키높이까지~굿입니다
2949,5,사이즈 딱맞고 정말이뻐요~
2950,5,이쁘네요 사이즈는 완전 딱맞아요 ㅠ
2951,5,"백화점에서 신어봤고,  한사이즈 크게 신어야한다고해서 신어보고 구매한거라 딱 맞습니다.백화점보다 많이 저렴하게 구매해서 만족하고 이쁩니다.사진을 못 찍어서,,실제가 훨씬 이뻐요."
2952,5,배송도 빠르고 저렴하게 구매했어요
2953,5,배송도 빠르고 저렴하게 구매했어요
2954,3,"저렴하게 잘 샀어요.
신발은 예쁜데 외부 택배박스뿐만 아니라 신발박스까지 다 찌그러져 있고 기분은 별로네요
조금 더 배송시 상품관리에 신경 써 주셨으면 합니다"
2955,5,"백화점에서 신어봤고,  한사이즈 크게 신어야한다고해서 신어보고 구매한거라 딱 맞습니다.
백화점보다 많이 저렴하게 구매해서 만족하고 이쁩니다.
사진을 못 찍어서,,실제가 훨씬 이뻐요."
2956,5,생각보다편하진않네요~길들면좀나이질거같아요~
2957,5,너무 예쁜 화이트네요. 한사이즈 업했는데 잘맞아요
2958,5,"반 사이즈 업하라고 해서 반 사이즈 업했더니 사이즈 딱 좋네요. 다른 리뷰에서 정품도 본드자국 좀 있다더니, 조금 묻은 게 있어서 잘 지웠네요. 맘에 듭니다"
2959,5,"맘에 들어요~ 평소 신던 운동화 보다 5사이즈 업해서
구입했어요~~ 잘 신을게요.
편하고 넘 좋네요"
2960,5,맘에 들어요~ 평소 신던 운동화 보다 5사이즈 업해서구입했어요~~ 잘 신을게요.편하고 넘 좋네요
2961,5,좋아요 추천합니다
2962,5,발볼있으시면 반치수 크게 추천드립니다
2963,5,발볼있으시면 반치수 크게 추천드립니다
2964,5,나이키 공식몰에서도 계속 품절중이었던 상품이라 보자마자 바로 구매했어요!!나이키 운동화가 원래 좀 작게 나오는 편이라 원래 사이즈 보다 10mm 크게 주문했는데도 딱 맞는것 같네요...운동화 넉넉하게 신으시는 분들은 15mm크게 주문하셔도 될 듯 해요!디자인은 말할것도 없이 너무 이쁘고 착화감도 폭신폭신하니 좋습니다!!
2965,5,배송도빠루고 좋아요
2966,5,배송도빠루고 좋아요
2967,5,반사이즈 업 해라고해서 40인데 45로 샀더니 딱이네요! 착화감 좋고 너무예뻐요!!!
