,리뷰,평점
6412,교환신청합니다 상자뜯자마자 덮어버렸습니다새거인가요 제품검수한게 맞는지요,1
6418,"교환신청합니다 상자뜯자마자 덮어버렸습니다
새거인가요 제품검수한게 맞는지요",1
6419,"교환신청합니다 상자뜯자마자 덮어버렸습니다
새거인가요 제품검수한게 맞는지요",1
6424,"약간의 흠결이 있지만 선물받은 사람이 교환이귀찮아 그냥 신는다네요
출고전 검수요청했었는데 말이죠",3
6534,97은 처음이라 그런건지운동화는 매장에서 직접 사는게 정답인건지몇 번을 교환하고 직전에 반품까지한 탓에 그냥 신기로 결정했지만 왼쪽 오른쪽 많이 차이나네요특히나 뒷 부분은 완전 다르네요이정도는 불량은 아닌건가요,3
6535,97은 처음이라 그런건지운동화는 매장에서 직접 사는게 정답인건지몇 번을 교환하고 직전에 반품까지한 탓에 그냥 신기로 결정했지만 왼쪽 오른쪽 많이 차이나네요특히나 뒷 부분은 완전 다르네요이정도는 불량은 아닌건가요,3
6564,폭신하지는 않아요,3
6566,"신어보고사야될거같아요
이쁜데 편하지는않네요",3
6582,"상품평을 잘 안쓰는 1인인데 이번건 쓰게 되네요
알단 신발을 받고 마감처리며 에어부분에  페인트 자국에 군데군데 고무잔재가 남아서  정품유무교환을 문의했더니 해당상품이 품정상테 하더라구요
제가 받은 상품이 품절되기 마지막 상품이라 상태가 저런가 싶기도 하고 반품해야 하나 그냥 참고 신어야 하나 고민 고민하다 더는 구할수 없는 사이즈라니 찝찝해도 그냥 신어야 헐것 같네요 ㅠㅠ",2
6593,자잘하게 얼룩들도 많고 마감도 허술했어요 어차피 신다보면 더러워질테니 그냥 신기는 하지만 상품 검수 신경 좀 쓰셔야할듯,3
6595,자잘하게 얼룩들도 많고 마감도 허술했어요 어차피 신다보면 더러워질테니 그냥 신기는 하지만 상품 검수 신경 좀 쓰셔야할듯,3
6655,저렴하게 잘 샀어요 신발은 예쁜데 외부 택배박스뿐만 아니라 신발박스까지 다 찌그러져 있고 기분은 별로네요조금 더 배송시 상품관리에 신경 써 주셨으면 합니다,3
6664,"저렴하게 잘 샀어요
신발은 예쁜데 외부 택배박스뿐만 아니라 신발박스까지 다 찌그러져 있고 기분은 별로네요
조금 더 배송시 상품관리에 신경 써 주셨으면 합니다",3
6679,"오랜만에 만난 97
올 화이트라 깔끔하고 예쁨
사이즈는 반사이즈업 
품질은 가격에 비해 영

그리고 새 상품 맞는지 바닥에 똥 같은거 묻어있어 별로였어요",3
6681,오랜만에 만난 97올 화이트라 깔끔하고 예쁨사이즈는 반사이즈업 품질은 가격에 비해 영그리고 새 상품 맞는지 바닥에 똥 같은거 묻어있어 별로였어요,3
